src_iata,dst_iata,src_city,dst_city,distance_km,seats,load_factor,pax_onboard,avg_fare_inr,ancillary_inr,revenue_per_flight,fuel_liters_per_flight,fuel_cost_inr,fixed_cost_inr,total_cost_inr,margin_per_flight,margin_per_pax
COK,TRV,Kochi,Trivandrum,194.2,78,0.72,56,3000.0,400.0,190400.0,454.43,18792.036619547154,250000.0,268792.0366195472,-78392.03661954717,-1399.857796777628
DEL,AMD,Delhi,Ahmedabad,756.5,78,0.72,56,3000.0,400.0,190400.0,1770.21,73203.4661978491,250000.0,323203.46619784913,-132803.46619784913,-2371.4904678187345
DEL,BBI,Delhi,Bhubaneswar,1277.7,78,0.72,56,3000.0,400.0,190400.0,2989.82,123637.97928361788,250000.0,373637.97928361787,-183237.97928361787,-3272.1067729217475
DEL,BDQ,Delhi,Baroda,794.5,78,0.72,56,3000.0,400.0,190400.0,1859.13,76880.57355478006,250000.0,326880.57355478004,-136480.57355478004,-2437.1530991925006
DEL,BLR,Delhi,Bangalore,1710.0,78,0.72,56,3000.0,400.0,190400.0,4001.4,165469.83106189288,250000.0,415469.8310618929,-225069.8310618929,-4019.1041261052305
DEL,BOM,Delhi,Mumbai,1138.2,78,0.72,56,3000.0,400.0,190400.0,2663.39,110139.12464435819,250000.0,360139.1246443582,-169739.12464435818,-3031.0557972206816
DEL,CCU,Delhi,Kolkata,1312.7,78,0.72,56,3000.0,400.0,190400.0,3071.72,127024.78869131743,250000.0,377024.78869131743,-186624.78869131743,-3332.585512344954
DEL,CJB,Delhi,Coimbatore,1950.0,78,0.72,56,3000.0,400.0,190400.0,4563.0,188693.66700040415,250000.0,438693.66700040415,-248293.66700040415,-4433.815482150074
DEL,COK,Delhi,Kochi,2048.9,78,0.72,56,3000.0,400.0,190400.0,4794.43,198263.98813866926,250000.0,448263.9881386693,-257863.9881386693,-4604.714073904809
DEL,DIB,Delhi,Mohanbari,1760.8,78,0.72,56,3000.0,400.0,190400.0,4120.27,170385.46029624267,250000.0,420385.4602962427,-229985.46029624267,-4106.883219575762
DEL,GAU,Delhi,Guwahati,1455.5,78,0.72,56,3000.0,400.0,190400.0,3405.87,140842.8883687632,250000.0,390842.8883687632,-200442.8883687632,-3579.337292299343
DEL,GOI,Delhi,Goa,1504.2,78,0.72,56,3000.0,400.0,190400.0,3519.83,145555.4744505879,250000.0,395555.4744505879,-205155.47445058788,-3663.490615189069
DEL,IDR,Delhi,Indore,662.9,78,0.72,56,3000.0,400.0,190400.0,1551.19,64146.33559376659,250000.0,314146.3355937666,-123746.33559376659,-2209.755992745832
DEL,IXB,Delhi,Baghdogra,1125.2,78,0.72,56,3000.0,400.0,190400.0,2632.97,108881.16686435549,250000.0,358881.1668643555,-168481.1668643555,-3008.5922654349197
DEL,IXJ,Delhi,Jammu,507.0,78,0.72,56,3000.0,400.0,190400.0,1186.38,49060.353420105086,250000.0,299060.35342010506,-108660.35342010506,-1940.3634539304476
DEL,IXR,Delhi,Ranchi,1007.7,78,0.72,56,3000.0,400.0,190400.0,2358.02,97511.16385279268,250000.0,347511.1638527927,-157111.1638527927,-2805.556497371298
DEL,LKO,Delhi,Lucknow,423.5,78,0.72,56,3000.0,400.0,190400.0,990.99,40980.3938331647,250000.0,290980.3938331647,-100580.39383316471,-1796.0784613065127
DEL,MAA,Delhi,Madras,1760.9,78,0.72,56,3000.0,400.0,190400.0,4120.51,170395.38501245572,250000.0,420395.38501245575,-229995.38501245575,-4107.060446650996
DEL,NAG,Delhi,Nagpur,853.9,78,0.72,56,3000.0,400.0,190400.0,1998.13,82628.63836149848,250000.0,332628.6383614985,-142228.63836149848,-2539.797113598187
DEL,PAT,Delhi,Patina,856.7,78,0.72,56,3000.0,400.0,190400.0,2004.68,82899.500408146,250000.0,332899.500408146,-142499.500408146,-2544.63393585975
DEL,PNQ,Delhi,Pune,1156.5,78,0.72,56,3000.0,400.0,190400.0,2706.21,111909.85942870124,250000.0,361909.8594287012,-171509.85942870122,-3062.6760612268076
